,motif,family,subfamily,family_genes
7_30,7_30,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_55,7_55,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
7_61,7_61,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
7_63,7_63,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_68,7_68,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_81,7_81,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_82,7_82,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
7_97,7_97,bZIP,CREB/ATF/1:bZIP,"['Atf1', 'Creb1', 'Atf2', 'Atf3', 'Crem', 'Fos', 'Fosl2', 'Fosl1', 'Jun', 'Fosb', 'Junb']"
7_107,7_107,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_112,7_112,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
7_125,7_125,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
7_141,7_141,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
7_143,7_143,bZIP,CREB/ATF/1:bZIP,"['Atf1', 'Creb1', 'Atf2', 'Atf3', 'Crem', 'Fos', 'Fosl2', 'Fosl1', 'Jun', 'Fosb', 'Junb']"
7_161,7_161,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
7_170,7_170,E2F,E2F/2:E2F,"['E2f1', 'Tfdp1', 'E2f4', 'E2f6', 'E2f3', 'E2f7']"
7_174,7_174,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
7_176,7_176,C2H2,ZFX:C2H2,['Zfx']
7_200,7_200,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
7_214,7_214,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
